position_id,strategy_id,side,evento,reason_name,t_epoch,precio_real,delta_precio_open,delta_t_open_s,spread_open,spread_close,lado,n_ticks_segundo,hit_exacto_segundo,dentro_rango_segundo,dist_min_segundo,q_min_segundo,q_max_segundo,hit_exacto_segundo_lado_opuesto,q_vigente,hit_exacto_vigente,delta_vigente,spread_tick_vigente,n_ticks_1,hit_exacto_1,dentro_rango_1,dist_min_1,n_ticks_2,hit_exacto_2,dentro_rango_2,dist_min_2,n_ticks_5,hit_exacto_5,dentro_rango_5,dist_min_5,n_ticks_30,hit_exacto_30,dentro_rango_30,dist_min_30
55205837,SAR::S6-K2P0,SELL,OPEN,,1785178410,4074.16,0.6900000000000546,61.0,0.5,0.5,bid,0,False,False,,,,False,4074.16,True,0.0,0.5,1,True,True,0.0,1,True,True,0.0,3,True,True,0.0,51,True,True,0.0
55205837,SAR::S6-K2P0,SELL,CLOSE,EXPERT,1785204008,4046.09,,,0.5,0.5,ask,8,True,True,0.0,4046.02,4046.23,False,4046.28,False,-0.19000000000005457,0.5,13,True,True,0.0,37,True,True,0.0,110,True,True,0.0,557,True,True,0.0
55205838,SuperTrend::SuperTrend-p14x3-M15,SELL,OPEN,,1785178410,4074.16,0.6900000000000546,61.0,0.5,,bid,0,False,False,,,,False,4074.16,True,0.0,0.5,1,True,True,0.0,1,True,True,0.0,3,True,True,0.0,51,True,True,0.0
55205838,SuperTrend::SuperTrend-p14x3-M15,SELL,CLOSE,CLIENT_manual,1785232113,4024.95,,,0.5,,ask,9,True,True,0.0,4024.84,4024.97,False,4024.89,False,0.05999999999994543,0.599999999999909,20,True,True,0.0,42,True,True,0.0,117,True,True,0.0,768,True,True,0.0
55216338,SAR::S6-K2P0,SELL,OPEN,,1785264307,4017.87,-12.510000000000218,6358.280044555664,0.5,,bid,3,True,True,0.0,4017.84,4017.87,False,4017.88,False,-0.010000000000218279,0.5,8,True,True,0.0,12,True,True,0.0,36,True,True,0.0,136,True,True,0.0
55216338,SAR::S6-K2P0,SELL,CLOSE,SL,1785268336,4024.61,,,0.5,,ask,10,False,True,0.02999999999974534,4024.26,4024.75,False,4024.21,False,0.40000000000009095,0.5,15,False,True,0.02999999999974534,22,False,True,0.010000000000218279,55,False,True,0.009999999999763531,300,True,True,0.0
55216339,SuperTrend::SuperTrend-p14x3-M15,SELL,OPEN,,1785264308,4017.87,-0.2200000000002546,3.9700522422790527,0.5,,bid,3,False,False,0.01999999999998181,4017.89,4018.08,False,4017.87,True,0.0,0.5,6,True,True,0.0,20,True,True,0.0,38,True,True,0.0,135,True,True,0.0
55216339,SuperTrend::SuperTrend-p14x3-M15,SELL,CLOSE,SL,1785277437,4033.62,,,0.5,,ask,15,False,True,0.009999999999763531,4032.98,4033.71,False,4033.0,False,0.6199999999998909,0.5,21,False,True,0.009999999999763531,45,False,True,0.009999999999763531,98,False,True,0.009999999999763531,499,False,True,0.009999999999763531
55216715,SAR::S6-K2P0,SELL,OPEN,,1785268357,4023.99,0.0199999999999818,1.0,0.5,,bid,6,True,True,0.0,4023.99,4024.12,False,4023.97,False,0.01999999999998181,0.5,10,True,True,0.0,15,True,True,0.0,57,True,True,0.0,257,True,True,0.0
55216715,SAR::S6-K2P0,SELL,CLOSE,SL,1785268575,4024.61,,,0.5,,ask,8,False,True,0.0500000000001819,4024.29,4024.85,False,4024.29,False,0.3200000000001637,0.5,10,False,True,0.0500000000001819,15,False,True,0.0500000000001819,34,False,True,0.0500000000001819,152,True,True,0.0
