R1,arm,band,entry_bid,entry_delay_bars,entry_fill,exit_bid,exit_fill,ficha,level_slip,margin1,net1,net1_con_coste,pos_id,reason,same_bar,sid,side,side_l,spread,t_exit,t_in,t_in_exec,t_out
78197.7500000034,mult1.50,0.5,4347.59,0,4347.59,4348.425,4348.63,F1,True,4071518.035,-97395.9999999966,-118467.2499999966,1767309300|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1767310203.104,1767309300,1767310200.0,1767310200
1352370.5038265446,mult1.50,0.5,4351.38,0,4351.88,4387.7238015691355,4387.48,F1,True,4075535.62,3333939.999999949,3312868.749999949,1767310200|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1767346909.622,1767310200,1767311100.0,1767346200
519071.1698888646,mult1.50,0.5,4393.91,0,4394.65,4426.923076799801,4426.9,F1,True,4115589.7249999996,3020212.5,2999141.25,1767567600|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1767601456.072,1767567600,1767568500.0,1767600900
928529.7161061985,mult1.50,0.5,4442.77,0,4442.77,4446.389001489126,4446.49,F1,True,4160654.1050000004,-348377.99999993865,-369449.24999993865,1767645000|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1767653586.668,1767645000,1767645900.0,1767653100
1728610.7873855766,mult1.50,0.5,4450.43,0,4450.98,4458.999045208203,4458.94,F1,True,4168342.7699999996,745454.0000000034,724382.7500000034,1767653100|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1767667628.615,1767653100,1767654000.0,1767667500
1487148.3155436334,mult1.50,0.5,4451.87,0,4452.34,4465.949150028272,4466.0,F1,True,4169616.41,-1279258.9999999863,-1300330.2499999863,1767667500|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1767670673.028,1767667500,1767668400.0,1767670200
223743.90014763677,mult1.50,0.5,4463.69,0,4463.56,4465.949150028272,4466.11,F1,True,4180123.9400000004,-238807.49999993187,-259878.74999993187,1767670200|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1767671754.08,1767670200,1767671100.0,1767671100
308805.59951549565,mult1.50,0.5,4492.95,0,4493.46,4490.162556331922,4490.15,F1,True,4208125.29,-309981.5000000375,-331052.7500000375,1767733200|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1767734308.073,1767733200,1767734100.0,1767734100
128061.0995154684,mult1.50,0.5,4491.03,0,4491.53,4490.162556331922,4490.14,F1,True,4206317.845,-130173.49999994549,-151244.7499999455,1767734100|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1767735180.814,1767734100,1767735000.0,1767735000
903886.9009074633,mult1.50,0.5,4489.78,0,4489.72,4495.587840186177,4495.69,F1,True,4204622.78,-559090.4999999386,-580161.7499999386,1767735000|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1767736805.316,1767735000,1767735900.0,1767736800
2083758.8060472808,mult1.50,0.5,4470.76,0,4470.81,4477.3329396230065,4477.41,F1,True,4186913.5650000004,-618089.9999999489,-639161.2499999489,1767736800|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1767742323.106,1767736800,1767737700.0,1767742200
148242.29569455833,mult1.50,0.5,4475.77,0,4475.75,4477.3329396230065,4477.41,F1,True,4191539.875,-155458.99999998638,-176530.24999998638,1767742200|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1767743245.058,1767742200,1767743100.0,1767743100
