default	624	40246087.50	3.734
u10-lb1-h1	624	40246087.50	0.515
u10-lb1-h3	624	40246087.50	0.531
u10-lb1-h5	624	40246087.50	0.516
u10-lb1-h10	624	40246087.50	0.484
u10-lb1-h20	624	40246087.50	0.500
u10-lb2-h1	624	40246087.50	0.500
u10-lb2-h3	624	40246087.50	0.453
u10-lb2-h5	624	40246087.50	0.422
u10-lb2-h10	624	40246087.50	0.438
u10-lb2-h20	624	40246087.50	0.375
u10-lb3-h1	624	40246087.50	0.422
u10-lb3-h3	624	40246087.50	0.422
u10-lb3-h5	624	40246087.50	0.406
u10-lb3-h10	624	40246087.50	0.390
u10-lb3-h20	624	40246087.50	0.375
u25-lb1-h1	624	40246087.50	0.422
u25-lb1-h3	624	40246087.50	0.344
u25-lb1-h5	624	40246087.50	0.313
u25-lb1-h10	624	40246087.50	0.312
u25-lb1-h20	624	40246087.50	0.281
u25-lb2-h1	624	40246087.50	0.266
u25-lb2-h3	624	40246087.50	0.266
u25-lb2-h5	624	40246087.50	0.265
u25-lb2-h10	624	40246087.50	0.266
u25-lb2-h20	624	40246087.50	0.265
u25-lb3-h1	624	40246087.50	0.266
u25-lb3-h3	624	40246087.50	0.266
u25-lb3-h5	624	40246087.50	0.265
u25-lb3-h10	624	40246087.50	0.266
u25-lb3-h20	624	40246087.50	0.266
u50-lb1-h1	624	40246087.50	0.265
u50-lb1-h3	624	40246087.50	0.281
u50-lb1-h5	624	40246087.50	0.266
u50-lb1-h10	624	40246087.50	0.281
u50-lb1-h20	624	40246087.50	0.266
u50-lb2-h1	624	40246087.50	0.266
u50-lb2-h3	624	40246087.50	0.265
u50-lb2-h5	624	40246087.50	0.266
u50-lb2-h10	624	40246087.50	0.265
u50-lb2-h20	624	40246087.50	0.266
u50-lb3-h1	624	40246087.50	0.266
u50-lb3-h3	624	40246087.50	0.265
u50-lb3-h5	624	40246087.50	0.266
u50-lb3-h10	624	40246087.50	0.266
u50-lb3-h20	624	40246087.50	0.281
u75-lb1-h1	624	40246087.50	0.265
u75-lb1-h3	624	40246087.50	0.266
u75-lb1-h5	624	40246087.50	0.266
u75-lb1-h10	624	40246087.50	0.265
u75-lb1-h20	624	40246087.50	0.266
u75-lb2-h1	624	40246087.50	0.266
u75-lb2-h3	624	40246087.50	0.265
u75-lb2-h5	624	40246087.50	0.265
u75-lb2-h10	624	40246087.50	0.266
u75-lb2-h20	624	40246087.50	0.266
u75-lb3-h1	624	40246087.50	0.281
u75-lb3-h3	624	40246087.50	0.266
u75-lb3-h5	624	40246087.50	0.265
u75-lb3-h10	624	40246087.50	0.250
u75-lb3-h20	624	40246087.50	0.266
u100-lb1-h1	624	40246087.50	0.265
u100-lb1-h3	624	40246087.50	0.282
u100-lb1-h5	624	40246087.50	0.265
u100-lb1-h10	624	40246087.50	0.250
u100-lb1-h20	624	40246087.50	0.282
u100-lb2-h1	624	40246087.50	0.265
u100-lb2-h3	624	40246087.50	0.250
u100-lb2-h5	624	40246087.50	0.281
u100-lb2-h10	624	40246087.50	0.266
u100-lb2-h20	624	40246087.50	0.266
u100-lb3-h1	624	40246087.50	0.265
u100-lb3-h3	624	40246087.50	0.266
u100-lb3-h5	624	40246087.50	0.266
u100-lb3-h10	624	40246087.50	0.265
u100-lb3-h20	624	40246087.50	0.266
u150-lb1-h1	624	40246087.50	0.265
u150-lb1-h3	624	40246087.50	0.266
u150-lb1-h5	624	40246087.50	0.266
u150-lb1-h10	624	40246087.50	0.266
u150-lb1-h20	624	40246087.50	0.266
u150-lb2-h1	624	40246087.50	0.265
u150-lb2-h3	624	40246087.50	0.266
u150-lb2-h5	624	40246087.50	0.265
u150-lb2-h10	624	40246087.50	0.266
u150-lb2-h20	624	40246087.50	0.266
u150-lb3-h1	624	40246087.50	0.265
u150-lb3-h3	624	40246087.50	0.266
u150-lb3-h5	624	40246087.50	0.266
u150-lb3-h10	624	40246087.50	0.265
u150-lb3-h20	624	40246087.50	0.266
ac_off	624	40246087.50	0.265
factor0.10	624	40246087.50	0.266
factor0.50	624	40246087.50	0.266
factor0.75	624	40246087.50	0.265
